#{"t_start": 1790206915.9220726, "env_id": "None"}
r,l,t
-155.601397,152,17669.176743
-122.248118,132,17690.618912
-246.935117,83,17701.732962
259.021884,106,17720.962105
26.956467,152,17740.925568
246.549184,109,17755.613941
-122.876303,148,17774.838956
-319.064856,146,17796.151336
-386.532664,151,17817.397471
-183.649985,116,17839.676716
-168.430501,144,17866.319277
249.192029,106,17889.249991
-227.280613,147,17909.979005
-49.726531,132,17928.626946
-89.725174,142,17954.637383
-134.492166,142,17973.751447
-107.4426,145,17996.528269
245.839748,110,18024.100663
-134.502306,148,18063.651169
254.468865,112,18107.380584
-288.57408,151,18131.844405
229.456064,110,18146.683044
204.705499,123,18163.69435
249.583027,106,18179.491685
199.48929,120,18195.561674
259.728241,107,18210.063067
-137.901602,149,18232.54724
260.064426,105,18246.787989
199.303273,118,18262.271142
-76.526197,140,18291.632422
194.866175,121,18307.644062
245.480007,108,18323.977625
-173.64968,148,18346.448753
256.998222,108,18366.470069
-108.168446,145,18395.365702
-104.751542,151,18426.947324
-49.586477,132,18447.253464
-181.812692,148,18472.664476
260.233937,107,18491.693054
-263.691495,200,18519.457633
255.522418,111,18540.76383
-183.628567,155,18561.240141
-108.375023,135,18579.278214
-120.459844,148,18598.641328
258.306307,108,18614.375458
-115.83235,153,18634.526251
-102.658392,139,18663.578177
169.154485,130,18680.810794
248.031815,108,18695.464005
-102.498643,148,18722.264784
259.989033,106,18755.655188
-507.67358,188,18812.109703
232.539879,111,18827.803957
-171.504304,141,18848.22226
-83.255236,130,18865.860476
-106.311034,144,18885.877091
245.304432,108,18905.16357
209.553641,121,18921.364104
-65.562021,134,18942.211417
-111.378102,142,18988.648535
256.557526,110,19010.229588
-113.647537,140,19054.084646
260.778466,105,19069.05063
-99.402397,138,19089.95335
-169.490528,137,19108.542632
-126.785929,148,19130.18017
-110.662291,138,19156.364849
-152.67768,145,19175.593682
245.255905,107,19190.114254
193.45657,128,19206.862144
255.552717,108,19232.042363
-101.237077,142,19259.089935
-125.306939,140,19280.309373
-143.176141,150,19300.458336
-110.91327,145,19320.967922
-90.726346,142,19344.454244
256.396561,107,19358.985258
-217.307799,124,19376.665769
260.632142,103,19390.931387
-669.023002,200,19428.621255
248.621308,104,19451.843128
-123.487469,147,19475.837742
-377.670214,157,19497.668483
-92.403433,142,19516.814626
-133.469375,132,19535.654566
-111.953357,141,19555.330771
248.01874,104,19597.535685
178.530076,123,19638.308198
247.209957,103,19713.949364
-138.609306,142,19738.884897
-55.656942,133,19762.988193
-131.250633,149,19787.400621
-54.373369,127,19805.381744
-164.976665,137,19824.05138
259.858958,107,19839.894639
190.794135,117,19855.490799
-75.370167,138,19874.025645
-135.044381,142,19901.435052
-113.870575,129,19922.27615
187.800596,119,19938.0858
-209.115425,126,19960.717717
220.483613,119,19976.618614
249.506996,104,19990.849642
203.590898,120,20006.610316
261.398644,101,20025.065375
-122.608819,142,20043.676613
257.037412,104,20058.384321
-203.98539,138,20079.612816
-336.924791,147,20099.378445
-111.412086,138,20137.048075
254.288846,110,20151.720346
-138.548409,140,20170.68494
236.452717,104,20189.578099
-266.280197,147,20219.867114
-49.428791,127,20236.581099
-297.982754,200,20278.138805
251.929705,107,20300.779468
-210.723115,200,20329.514239
256.846598,104,20359.478198
-130.924169,142,20401.899991
-98.148782,129,20419.202818
-114.264815,136,20437.677596
247.489242,106,20472.687015
-115.587602,139,20496.348838
-81.166975,132,20532.530049
212.728131,124,20549.464254
-86.782527,135,20567.786771
-98.318011,146,20586.826583
-91.783626,136,20604.882301
-166.04351,157,20630.740298
246.183238,106,20645.294293
218.394604,118,20667.33933
-106.918452,129,20687.975822
-155.959866,144,20706.761407
260.569505,106,20724.236164
193.871969,119,20744.188468
259.579556,105,20759.24386
191.74327,119,20774.976302
-131.977107,139,20804.220161
197.582803,121,20830.216422
-90.555394,143,20849.542472
199.760875,120,20865.468685
-233.181211,128,20898.486407
165.627686,122,20914.721618
249.344911,108,20930.268631
-84.612646,140,20955.541767
-61.981635,133,20974.220163
215.914217,118,20990.546246
-117.756128,132,21008.943898
183.781924,122,21036.936121
-253.550926,130,21087.957191
206.844465,117,21104.647575
247.129283,106,21118.886115
-102.89749,144,21137.930954
